Entity,Good chance,Some chance,No cha nne,DK,Never heard of
Martin O'Malley,nan,nan,0.0,0.0,0
Jim Webb,nan,12.0,nan,0.0,0
Bemie Sanders,818.0,18.0,nan,0.0,0
Chris Christie,26.0,45.0,20.0,0.0,0
Bobby Jindal,12.0,22.0,56.0,0.0,0
Rick Perry,23.0,39.0,26.0,0.0,0
Ben Carson,10.0,12.0,nan,58.0,0
Soo tt Walker,11.0,14.0,22.0,48.0,0
Marco Rubio,11.0,23.0,29.0,31.0,0
Ted Cruz,11.0,20.0,38.0,27.0,0
Rand Paul,11.0,26.0,37.0,23.0,0
Mike Huckabee,11.0,25.0,nan,18.0,0
Eliza beth Wa men,12.0,18.0,26.0,38.0,0
Jeb Bush,12.0,29.0,46.0,10.0,0
Joe Biden,13.0,29.0,50.0,0.0,0
Hillary Clinton,33.0,19.0,45.0,nan,0
