Entity,Values
in their language,12
No apps or websites,No apps or websites
Not being allowed to have a phone,12
service,18
Lack of mobile,18
internet in other ways,19
Ability to access the nternet in other ways,19
Ability to access the internet in other ways,19
information security,29
Worries about,29
well enough,31
They cannot read,31
Data cost,34
of the phone,40
Worries about theft,40
phone,43
Not needing a mobile phone,43
Devices being too complicated,43
family having a phone,48
Someone in their,48
Device cost,51
