Entity,Never,Rarely,Sometimes,Always
Having an open,48,20,18,14
exchanging explicit of themselves ages,33,17,25,24
Consenting adults exchanging explicit images of themselves,33,17,25,24
Consenting adults exchanging explicit of themselves ges,33,17,25,24
consenting adults not in committed relationship I,24,14,32,29
consenting adults not in committed relationship a,24,14,32,29
Casual sex between,0,0,0,0
relationship,0,0,0,0
adults in a committed,25,9,22,43
Sex between unmarried,0,0,0,0
