Characteristic,2014,2015,2016
Greece,272309,270524,283783
Spain,205554,212877,224484
Slovakia,193520,200828,187269
France,133649,142591,150243
Belgium,108320,113253,122511
Italy,90730,92577,99218
Slovenia,85908,89709,108665
Netherlands,77353,81014,177396
Portugal,69341,70463,71232
Germany,44791,46047,48462
Estonia,35562,33674,34629
Latvia,33801,32415,34398
Finland,20157,19504,19696
Malta,15831,15426,16171
Cyprus,14956,15137,15798
Austria,12085,12728,14210
Ireland,10347,11159,12658
Luxembourg,3772,3954,4139
Average for euro area,59793,62171,67341
