Brand,2018,2019,2020
Super 8,2889,2925,2723
Days Inn,1728,1691,1600
La Quinta**,914,928,937
Ramada,811,855,838
Baymont,513,525,519
Travelodge,435,450,455
Microtel,343,346,345
Howard Johnson,338,322,310
AmericInn*,204,205,204
Wingate by Wyndham,164,181,174
Wyndham Hotels and Resorts,132,134,132
Wyndham Garden,119,127,123
Trademark*,84,101,113
Hawthorn Suites by Wyndham,110,109,89
Tryp by Wyndham,110,97,86
Ramada Encore,60,71,70
Wyndham Grand,37,49,60
Dolce Hotels and Resorts,20,19,19
Dazzler Hotels,12,13,13
Esplendor Boutique Hotels,10,8,7
