Characteristic,Boris Johnson,Keir Starmer
"May 28, 21",37%,25%
"May 20, 21",40%,24%
"Apr 14, 21",34%,26%
"Apr 8, 21",35%,29%
"Apr 1, 21",35%,29%
"Mar 25, 21",37%,27%
"Mar 4, 21",36%,28%
"Feb 26, 21",35%,31%
"Feb 3, 21",33%,33%
"Jan 27, 21",29%,34%
"Jan 14, 21",29%,34%
"Jan 5, 21",30%,35%
"Dec 22, 20",30%,35%
"Dec 3, 20",29%,33%
"Nov 27, 20",29%,34%
"Nov 18, 20",29%,34%
"Nov 12, 20",28%,34%
"Nov 5, 20",26%,36%
"Oct 22, 20",29%,35%
"Oct 7, 20",29%,33%
"Sep 30, 20",27%,36%
"Sep 24, 20",30%,37%
"Sep 17, 20",30%,35%
"Sep 4, 20",31%,34%
"Aug 5, 20",32%,34%
"Jul 31, 20",33%,31%
"Jun 28, 20",35%,34%
"Jun 12, 20",33%,33%
"May 30, 20",37%,32%
"May 19, 20",39%,27%
"April 17, 20",46%,22%
