Characteristic,France,Europe (excl. France),United States,Japan,Asia (excl. Japan),Other
2020,3333,7337,10647,3164,15366,4804
2019,4725,10203,12613,3878,16189,6062
2018,4491,8731,11207,3351,13723,5323
2017,4172,8000,10691,2957,11877,4939
2016,3745,6825,10004,2696,9922,4408
2015,3552,6408,9345,2487,9636,4236
2014,3212,5830,7262,2107,8740,3487
2013,3118,5453,6640,2057,8647,3101
2012,3083,5397,6377,2351,7876,2886
2011,2866,4797,5237,1970,6430,2359
2010,2725,4236,4611,1784,4991,1973
2009,2478,3664,3840,1683,3850,1538
2008,2646,4095,3825,1779,3404,1526
