Characteristic,Lowest quintile,Top 5 percent
2019,15286,451122
2018,14024,424066
2017,13895,423846
2016,13789,399606
2015,13443,378626
2014,12622,359255
2013,12745,367667
2012,12818,354805
2011,12803,354792
2010,12919,337488
2009,13799,352835
2008,13874,350800
2007,14278,354982
2006,14430,378032
2005,13983,368961
2004,13899,358043
2003,13929,352866
2002,14236,357704
2001,14672,377027
2000,15121,375756
1999,15262,361842
1998,14499,349434
1997,14083,343257
1996,13991,327537
1995,13945,315551
1994,13201,313255
1993,12857,303618
1992,12997,259015
1991,13265,252462
1990,13633,263980
