Characteristic,0-14 years,15-64 years,65 years and older
2020,13%,63.9%,23.2%
2019,13.2%,64%,22.8%
2018,13.4%,64.1%,22.6%
2017,13.5%,64.2%,22.3%
2016,13.7%,64.3%,22%
2015,13.8%,64.5%,21.7%
2014,13.9%,64.7%,21.4%
2013,14%,64.8%,21.2%
2012,14%,65.2%,20.8%
2011,14.1%,65.4%,20.5%
2010,14.1%,65.5%,20.4%
2009,14.1%,65.6%,20.3%
2008,14.1%,65.7%,20.2%
2007,14.1%,65.8%,20.1%
2006,14.1%,66%,19.9%
2005,14.1%,66.3%,19.5%
2004,14.2%,66.6%,19.2%
2003,14.2%,66.8%,19%
2002,14.2%,67.1%,18.7%
