Characteristic,2014,2015,2016,2017,2018,2019
Dec,416.32,425.98,417.84,652.37,650.35,-
Nov,275.4,282.02,301.11,465.41,448.33,-
Oct,131.21,134.8,129.34,224.71,228.99,-
Sep,132.07,116.8,93.7,198.05,175.88,-
Aug,110.05,97.0,99.31,166.96,170.96,-
Jul,108.18,105.35,96.11,171.19,170.07,-
Jun,106.77,100.22,90.51,165.84,167.65,-
May,100.16,90.65,85.35,153.39,155.31,-
Apr,103.77,94.64,86.07,188.66,152.99,162.35
Mar,102.77,95.45,98.92,190.56,178.56,163.23
Feb,75.87,91.44,75.94,125.19,130.91,134.17
Jan,85.09,79.25,76.68,141.98,152.31,172.08
