Characteristic,Energy,Metals,Agriculture
Nov '19,87.7,86.1,98.4
Oct '19,83.4,86.3,94.9
Sep '19,86.6,87.3,93.1
Aug '19,82.8,85.9,92.8
Jul '19,88.0,91.5,95.7
Jun '19,85.9,88.7,97.1
May '19,96.2,88.8,94.5
Apr '19,99.0,92.1,95.5
Mar '19,94.0,91.6,95.4
Feb '19,91.0,90.5,96.2
Jan '19,86.8,85.6,95.9
Dec '18,85.4,85.9,94.9
Nov '18,96.3,87.5,94.5
Oct '18,113.9,89.6,95.8
Sep '18,112.5,87.4,95.0
Aug '18,106.3,88.2,97.5
Jul '18,107.8,90.1,99.2
Jun '18,106.8,98.2,102.2
May '18,107.9,98.0,105.5
Apr '18,101.0,97.6,105.3
Mar '18,95.1,95.4,103.4
Feb '18,94.7,100.0,101.9
Jan '18,100.0,100.0,100.0
