Characteristic,Aircraft,Combat Systems,Marine Systems,Information and Technology Systems
2020*,8075,7223,9979,12648
2019*,9801,7007,9183,13359
2018*,8455,6241,8502,12995
2017,8129,5949,8004,8891
2016,7815,5530,8072,9144
2015,9177,5643,8032,8929
2014,8649,5732,7312,9159
2013,8118,5892,6712,10268
2012,6912,7471,6592,10017
2011,5998,8827,6631,11221
2010,5299,8878,6677,11612
2009,5171,9645,6363,10802
2008,5512,8194,5556,10038
2007,4828,7797,4993,9622
2006,4116,5983,4940,9024
2005,3433,5021,4695,7826
