Characteristic,Total,E-commerce
Books (includes audio books and e-books),17071,14966
Clothing and clothing accessories (includes footwear),89434,80422
Computer software (includes video game software),23500,21704
"Drugs, health aids, and beauty aids",163272,50445
Electronics and appliances,56866,51482
"Food, beer, and wine",19221,17068
Furniture and home furnishings,73636,68087
Jewelry,9392,7563
Audio and video recordings (includes purchased downloads),14027,12979
Sporting goods,21685,19312
"Toys, hobby goods, and games",17854,16202
Other merchandise*,83741,67575
Nonmerchandise receipts**,34381,30680
