Characteristic,Female,Male
Albania,1425342,1424700
Austria,4522292,4378772
Belgium,5841215,5681225
Bulgaria,3581836,3369646
Croatia,2086515,1971650
Cyprus,453534,434471
Czech Republic,5421943,5271996
Denmark,2925845,2896918
Estonia,699699,629277
Finland,2797030,2785818
France,34787547,32532669
Germany,42129098,41037613
Greece,5503077,5215488
Hungary,5088736,4680790
Iceland,177193,186941
Ireland,2335733,2457657
Italy,30591392,29050096
Latvia,1026719,880956
Liechtenstein,19532,19215
Lithuania,1489736,1304354
Luxembourg,311144,314964
Malta,248802,265762
Netherlands,8759554,8648031
Poland,19584757,18373381
Portugal,5435932,4859977
Romania,9868177,9460661
Serbia,3552066,3630114
Slovakia,2792523,2665350
Slovenia,1044795,1051066
Spain,24133301,23199313
Sweden,5131775,5195814
Switzerland,4337170,4268863
