Characteristic,White alone,Black or African American alone,"American Indian, Alaska Native alone",Asian alone,Native Hawaiian and Other Pacific Islander alone,Two or more races
"New York-Northern New Jersey-Long Island, NY-NJ-PA",13139259,3676314,95997,1829097,23606,305523
"Los Angeles-Long Beach-Santa Ana, CA",9652130,979444,123265,1820552,45139,254267
"Chicago-Naperville-Joliet, IL-IN-WI",7176654,1715530,37639,519852,8480,122412
"Dallas-Fort Worth-Arlington, TX",5031690,937999,50072,317311,9871,100672
"Houston-Sugar Land-Baytown, TX",4379450,1009716,37949,352808,7691,79875
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4336844,1256380,17216,271746,4038,82028
"Miami-Fort Lauderdale-Pompano Beach, FL",4149312,1162729,27023,130269,7284,70434
"Boston-Cambridge-Quincy, MA-NH",3859639,362075,12936,282035,3552,68443
"Washington-Arlington-Alexandria, DC-VA-MD-WV",3394264,1456689,23331,482463,6542,112952
"Atlanta-Sandy Springs-Marietta, GA",3390705,1741850,22464,235823,4836,79535
