Characteristic,2015,2016,2017,2018,2019,2020,2021
Dec,239.4,251.7,239.1,260.0,288.7,232.0,-
Nov,206.3,239.8,246.2,258.5,285.4,231.3,-
Oct,197.3,239.3,238.1,256.2,281.3,241.4,-
Sep,197.0,237.5,233.4,262.9,269.4,252.7,-
Aug,218.2,229.7,232.9,263.6,269.2,268.3,-
Jul,200.4,237.9,230.3,253.8,282.6,257.1,-
Jun,277.3,229.4,253.0,252.1,299.5,261.3,-
May,188.3,240.0,235.6,258.8,281.2,188.3,-
Apr,200.5,237.7,237.4,259.0,253.0,185.6,-
Mar,215.2,237.6,238.3,249.9,269.9,183.4,257.8
Feb,198.8,241.3,205.9,259.7,241.2,184.4,247.3
Jan,198.6,239.8,243.1,200.6,254.1,288.4,203.9
