Characteristic,Holiday houses,Hotels,Resorts,Campsites,Hostels
Mar 2019,654054,1157657,198321,135469,142434
Mar 2020,652439,406578,93934,104880,60111
Apr 2019,1812727,1308625,351375,875334,195911
Apr 2020,602743,107348,59999,476907,20625
May 2019,1603474,1556017,301699,1109087,229538
May 2020,696795,226550,75324,938599,32854
Jun 2019,2162803,1680600,370207,1570749,223452
Jun 2020,1741716,561520,184394,1247009,67462
Jul 2019,4484063,2198498,775386,3877944,305971
Jul 2020,4838850,1609883,768211,4235911,250793
Aug 2019,3321611,1987151,506111,2050612,271577
Aug 2020,4143368,1207821,450095,2337984,167271
