Characteristic,Digital contents,Arcade operations,Amusement equipment,Other businesses
"April 1, 2020 to March 31, 2021",75.3,9.87,7.09,3.05
"April 1, 2019 to March 31, 2020",59.94,12.1,6.53,3.01
"April 1, 2018 to March 31, 2019",82.98,11.05,3.42,2.58
"April 1, 2017 to March 31, 2018",74.14,10.23,7.8,2.34
"April 1, 2016 to March 31, 2017",58.7,9.53,16.86,2.08
"April 1, 2015 to March 31, 2016",52.58,9.06,13.34,2.04
"April 1, 2014 to March 31, 2015",45.35,9.24,7.54,2.14
"April 1, 2013 to March 31, 2014",65.82,10.62,23.16,2.59
"April 1, 2012 to March 31, 2013",63.64,10.94,16.78,2.71
"April 1, 2011 to March 31, 2012",59.81,11.73,7.66,2.86
"April 1, 2010 to March 31, 2011",74.3,11.62,7.9,3.89
"April 1, 2009 to March 31, 2010",47.25,11.99,4.55,3.05
"April 1, 2008 to March 31, 2009",66.62,13.51,8.93,2.82
"April 1, 2007 to March 31, 2008",55.85,13.41,10.93,2.95
