Characteristic,Share of TLD attacks
"GoDaddy.com, LLC",17%
"NameCheap, Inc.",12%
"Alibaba Cloud Computing (Beijing) Co., Ltd.",10%
PDR Ltd. d/b/a PublicDomainRegistry.com,5%
Tucows Domain Inc.,3%
Google Inc.,3%
"Name.com, Inc.",3%
Dynadot LLC,2%
Key-Systems LLC,2%
"Chengdu West Dimenson Digital Technology Co., Ltd.",2%
Unregistrar Corp,2%
"Network Solutions, LLC",2%
OVH,2%
"GMO Internet, Inc. d/b/a Onamae.com",2%
Gandi SAS,1%
"Registrar of Domain Names REG.RU, LLC",1%
1&1 Internet SE,1%
1API GmbH,1%
"NameSilo, LLC",1%
"Regional Network Information Center, JSC dba RU-CENTER",1%
