Characteristic,Number of teachers
Andaman and Nicobar Islands,351
Andhra Pradesh,103554
Arunachal Pradesh,935
Assam,21564
Bihar,30582
Chandigarh,3237
Chhattisgarh,19049
Dadra and Nagar Haveli,193
Daman and Diu,182
Delhi,19676
Goa,2704
Gujarat,52109
Haryana,49438
Himachal Pradesh,11004
Jammu & Kashmir,10661
Jharkhand,9900
Karnataka,137458
Kerala,53230
Lakshadweep,33
Madhya Pradesh,70964
Maharashtra,163962
Manipur,5023
Meghalaya,3574
Mizoram,1658
Nagaland,2029
Odisha,41852
Puducherry,6855
Punjab,52472
Rajasthan,73952
Sikkim,1410
Tamil Nadu,203843
Telangana,91932
Tripura,2375
Uttar Pradesh,157330
Uttarakhand,17729
West Bengal,50435
