Characteristic,Share of foreign-born population
Mexico,24.98%
China,6.39%
India,5.89%
Philippines,4.49%
El Salvador,3.17%
Cuba,3%
Vietnam,2.96%
Dominican Republic,2.62%
Korea,2.36%
Guatemala,2.24%
Canada,1.83%
Colombia,1.77%
Jamaica,1.65%
Haiti,1.53%
Honduras,1.44%
Germany,1.24%
Brazil,1.06%
Peru,1.05%
Ecuador,0.98%
Poland,0.89%
Venezuela,0.89%
Iran,0.85%
Pakistan,0.85%
Nigeria,0.84%
Russia,0.83%
Japan,0.8%
"United Kingdom, other",0.76%
Ukraine,0.73%
Italy,0.72%
England,0.66%
