Characteristic,Inflation rate
Aug '20,0.48%
Jul '20,0.08%
Jun '20,0.13%
May '20,0.15%
Apr '20,0.9%
Mar '20,0.29%
Feb '20,0.29%
Jan '20,0.82%
Dec '19,1.23%
Nov '19,1.2%
Oct '19,1.22%
Sep '19,1.02%
Aug '19,0.8%
Jul '19,0.89%
Jun '19,0.37%
May '19,0.2%
Apr '19,0.35%
Mar '19,0.64%
Feb '19,0.7%
Jan '19,0.62%
Dec '18,0.34%
Nov '18,0.26%
Oct '18,0.31%
Sep '18,0.2%
Aug '18,0.34%
Jul '18,0.39%
Jun '18,0.79%
May '18,0.86%
Apr '18,0.74%
Mar '18,0.35%
Feb '18,0.38%
Jan '18,0.4%
