Oil field (province/territory),Cumulative production in cubic meters
Pembina (AB),330251400
Hibernia (NL),174190088
Swan Hills (AB),148289200
Judy Creek (AB),144846300
Redwater (AB),139576339
Rainbow (AB),114730700
Provost (AB),109395200
Weyburn (SK),93502801
Bonnie Glen (AB),82972300
Nipisi (AB),78838400
Terra Nova (NL),65785041
Leduc-Woodbend (AB),64504700
Mitsue (AB),64339000
Wizard Lake (AB),54358800
Fenn Big Valley (AB),53908200
Steelman (SK),53257907
White Rose/North Amethyst (NL),46745290
Norman Wells (NT),43421280
Boundary Lake (BC),38296908
Virginia Hills (AB),36846900
