Characteristic,Direct investments in billion U.S. dollars
Holding companies (non-bank),1835.31
Finance (except depository institutions and insurance),394.28
Other industries,241.27
Information,198.33
Chemicals,120.75
Other manufacturing,101.74
"Professional, scientific, and technical services",85.69
Wholesale trade,71.52
Machinery,48.94
Food,48.4
Depository Institutions,47.98
Computers and electronic products,40.79
Transportation equipment,25.8
Primary and fabricated metals,22.93
Mining,8.81
"Electrical equipment, appliances, and components",6.57
