Characteristic,Number of organizations
Water resources and wetlands,7291
Natural resource conservation,6565
Land resources conservation,1522
Environmental education,1213
Professional associations,1208
Alliances & Advocacy,1140
Environmental beautification,1062
Pollution abatement,695
Forest resources,670
Wildlife preservation and protection,659
Botanical gardens,565
Environmental - other,500
Single organization support,462
Recycling centers,443
Fundraising and distribution,426
Wildlife sanctuaries,412
Research and public policy,372
Energy conservation and development,338
Bird species,225
Management assistance,188
Botanical and landscaping services,156
Fisheries,153
Endangered species,139
Native plant societies,79
Support - others,56
Global sustainability,9
