Characteristic,Average weekday ridership
Los Angeles County Metropolitan Transportation  Authority,1439259
Long Beach Transit,89722
City of Los Angeles Department of Transportation  (“DASH”),78697
Santa Monica Big Blue Bus,61856
Metrolink,49745
Foothill Transit,48412
Metro: Small Operators,41295
Montebello Municipal Bus Lines,24858
Culver CityBus,20822
Torrance Transit,13659
Gardena Municipal Bus Lines,12875
Antelope Valley Transit Authority,11881
City of Santa Clarita Transit,11502
Norwalk Transit District,5573
