Characteristic,Number of runs scored
AJ Finch  (Australia vs Zimbabwe - 2018),172
Hazratullah Zazai  (Afghanistan vs Ireland - 2019)*,162
AJ Finch  (Australia vs England - 2013),156
GJ Maxwell  (Australia vs Sri Lanka - 2016)*,145
MP O'Dowd (Netherlans vs Malaysia - 2021)*,133
HG Munsey (Scotland vs Netherlands - 2019)*,127
Shaheryar Butt (Belgium vs Czech Rep.- 2020),125
E Lewis  (West Indies vs India - 2017)*,125
KJ O'Brien (Ireland vs Hong Kong - 2019),124
SR Watson  (Australia vs India - 2016)*,124
