Characteristic,Number of balls faced
DA Miller  (South Africa v Bangladesh - 2017),35
RG Sharma  (India v Sri Lanka - 2017),35
S Wickramasekara (Czech Republic v Turkey - 2019),35
S Periyalwar (Romania v Turkey - 2019),39
HG Munsey (Scotland vs Netherlands - 2019),41
Shaheryar Butt (Belgium v Czech Republic - 2020),41
Hazratullah Zazai  (Afghanistan v Ireland - 2019),42
JP Kotze (Namibia v Botswana - 2019),43
RE Levi  (South Africa v New Zealand - 2012),45
F du Plessis  (South Africa v West Indies - 2015),46
KL Rahul (India v West Indies - 2016),46
GD Phillips (New Zealand v West Indies - 2020),46
