Characteristic,Number of people in millions
2021*,67.41
2020 *,67.29
2019 *,67.14
2018,66.99
2017,66.77
2016,66.6
2015,66.42
2014,66.13
2013,65.56
2012,65.24
2011,64.93
2010,64.61
2009,64.3
2008,63.96
2007,63.6
2006,63.19
2005,62.73
2004,62.25
2003,61.82
2002,61.38
2001,60.94
2000,60.51
1999,60.12
1998,59.89
1997,59.69
1996,59.48
1995,59.28
1994,59.07
1993,58.85
1992,58.57
1991,58.28
1990,57.99
1989,57.66
1988,57.33
1987,57.01
1986,56.72
1985,56.44
1984,56.17
1983,55.9
1982,55.57
