Characteristic,Total earnings in million U.S. dollars
Conor McGregor,15.08
Alistair Overeem,9.57
Khabib Nurmagomedov,8.68
Anderson Silva,8.11
Michael Bisping,7.14
Georges St-Pierre,7.04
Jon Jones,7.03
Mark Hunt,6.3
Donald Cerrone,6.16
Junior dos Santos,5.97
Daniel Cormier,5.73
Vitor Belfort,5.46
Andrei Arlovski,5.41
Brock Lesnar,5.08
Nate Diaz,4.89
Mauricio ‘Shogun’ Rua,4.76
Rashad Evans,4.74
Lyoto Machida,4.59
Frankie Edgar,4.57
Stipe Miocic,4.49
Dan Henderson,4.4
Chuck Liddell,4.38
Ronda Rousey,4.28
Jose Aldo,4.23
Tyron Woodley,4.17
Tito Ortiz,4.14
Chris Weidman,3.89
Fabricio Werdum,3.88
Robbie Lawler,3.82
Demian Maia,3.68
