Characteristic,Wealth in billion U.S. dollars
Jeff Bezos (United States),189.3
Elon Musk (United States),182.2
Bernard Arnault & family (France),157.7
Bill Gates (United States),123.7
Mark Zuckerberg (United States),95.7
Warren Buffet (United States),91.7
Larry Page (United States),90.9
Zhong Shanshan (China),89.8
Sergey Brin (United States),88.2
Larry Ellison (United States),85.2
Steve Ballmer (United States),80.4
Mukesh Ambani (India),78.0
Francoise Bettencourt Meyers & family (France),75.6
Armancio Ortega (Spain),74.0
Colin Zheng Huang (China),69.1
Ma Huateng (China),69.1
Alice Walton (United States),65.1
Jim Walton (United States),64.9
Rob Walton (United States),64.6
Carlos Slim Helú & family (Mexico),64.0
Jack Ma (China),62.0
MacKenzie Bezos (United States,57.4
Michael Bloomberg (United States),54.9
Tadashi Yanai (Japan),53.1
Masayoshi Son (Japan),49.3
Wang Wei (China),48.6
Charles Koch (United States),46.1
Julia Koch (United States),44.9
