Characteristic,Light truck sales in thousands
2020,11070.0
2019,12241.4
2018,11914.7
2017,11060.9
2016,10594.0
2015,9879.5
2014,8744.2
2013,7943.8
2012,7188.0
2011,6649.0
2010,5919.1
2009,5000.8
2008,6425.6
2007,8526.9
2006,8742.8
2005,9287.8
2004,9384.4
2003,9083.5
2002,8774.1
2001,8770.3
2000,8572.0
1999,8256.0
1998,7458.1
1997,6904.2
1996,6618.5
1995,6108.0
1994,6054.5
1993,5365.0
1992,4642.9
1991,4134.4
1990,4559.5
1989,4743.9
1988,4897.6
1987,4704.2
1986,4638.6
1985,4446.7
1984,3814.9
1983,2928.5
1982,2377.9
1981,2029.3
1980,2215.7
