Characteristic,Salary in U.S. dollars
2019-20,63645
2018-19,62304
2017-18,60768
2016-17,59752
2015-16,58492
2014-15,57748
2013-14,57060
2012-13,56360
2011-12,56043
2010-11,55759
2009-10,55370
2008-09,54368
2007-08,52800
2006-07,51052
2005-06,49086
2004-05,47516
2003-04,46542
2002-03,45686
2001-02,44655
2000-01,43378
1999-00,41807
1998-99,40544
1997-98,39350
1996-97,38443
1995-96,37642
1994-95,36675
1993-94,35737
1992-93,35029
1991-92,34063
1990-91,33084
1989-90,31367
1988-89,29564
1987-88,28034
1986-87,26569
1985-86,25199
1984-85,23600
1983-84,21935
1982-83,20695
1981-82,19274
1980-81,17644
1979-80,15970
