Characteristic,Number of golf courses
Troon Golf,278.0
ClubCorp,200.0
Billy Casper Golf,158.0
Pacific Golf Management,156.0
"Accordia Golf Co., Ltd.",134.0
KemperSports,109.0
Blue Green Groupe Saur,105.0
American Golf Corp.,76.0
Arcis Golf,70.0
OB Sports,67.5
Landscapes Golf Management,60.5
GreatLIFE Golf & Fitness,54.0
ClubLink,53.0
Marriott Golf,51.0
Century Golf Partners / Arnold Palmers Golf Management,46.0
UGOLF,43.0
ClubSpecialists International (CSI),38.5
"CourseCo, Inc",38.5
Touchstone Golf,36.0
Crown Golf,32.0
