Characteristic,Number of cases
Brazil,18448402
Argentina,4423636
Colombia,4187194
Mexico,2507453
Peru,2048115
Chile,1551137
Ecuador,455743
Bolivia,435568
Paraguay,419764
Panama,401332
Uruguay,366915
Costa Rica,364304
Dominican Republic,323650
Guatemala,291977
Venezuela,270654
Honduras,260331
Cuba,184943
El Salvador,78766
Jamaica,50054
Trinidad and Tobago,32343
Suriname,21360
Guyana,19891
Haiti,18212
Belize,13189
Bahamas,12467
Nicaragua,7920
Saint Lucia,5284
Barbados,4077
Saint Vincent and the Grenadines,2219
Antigua and Barbuda,1263
Saint Kitts and Nevis,439
Dominica,193
Grenada,161
