Characteristic,Revenue in million U.S. dollars
"Jan 1, 2020 - Dec 31, 2020",1242.4
"Jan 1, 2019 - Dec 31, 2019",5471.0
"Jan 1, 2018 - Dec 31, 2018",5460.8
"Jan 1, 2017 - Dec 31, 2017",5079.2
"Jan 1, 2016 - Dec 31, 2016",3235.85
"Jan 1, 2015 - Dec 31, 2015",2946.9
"Jan 1, 2014 - Dec 31, 2014",2695.39
"Jan 1, 2013 - Dec 31, 2013",2749.43
"Aug 31, 2012 - Dec 31, 2012",811.49
"Mar 30, 2012 - Aug 30, 2012",1206.07
"FY 2011 (Apr 1, 2011 - Mar 29, 2012)",2521.98
"FY 2010 (Apr 2, 2010 - Mar 31, 2011)",2362.54
"FY 2009 (Apr 3, 2009 - Apr 1, 2010)",2357.81
"FY 2008 (Apr 4, 2008 - Apr 2, 2009)",2215.06
"FY 2007 (Mar 30, 2007 - Apr 3, 2008)",2344.33
"FY 2006 (Mar 31, 2006 - Mar 29, 2007)",2303.22
