Domestic industries,Profits in billion U.S. dollars
Other nonfinancial,432.2
Other financial,394.7
Retail trade,215.0
Information,130.4
Wholesale trade,108.7
Federal Reserve banks,80.6
Food and beverage and tobacco products,58.6
Chemical products,57.9
Computer and electronic products,57.1
Other durable goods,51.4
Transportation and warehousing,31.2
Utilities,27.5
Other nondurable goods,25.8
Fabricated metal products,22.9
Machinery,17.3
"Electrical equipment, appliances, and components",10.9
"Motor vehicles, bodies and trailers, and parts",1.6
Petroleum and coal products,-19.0
