Characteristic,Average price in Malaysian ringgit per metric ton
Dec 20,3620.5
Nov 20,3422.0
Oct 20,2979.5
Sep 20,2924.0
Aug 20,2815.0
Jul 20,2519.0
Jun 20,2411.5
May 20,2074.0
Apr 209,2299.0
Mar 20,2382.0
Feb 20,2714.5
Jan 20,3013.5
Dec 19,2813.0
Nov 19,2493.5
Oct 19,2104.0
Sep 19,2097.0
Aug 19,2066.5
Jul 19,1879.0
Jun 19,1968.0
May 19,1946.5
Apr 19,2018.5
Mar 19,1903.5
Feb 19,2100.5
Jan 19,2037.0
Dec 18,1794.5
Nov 18,1830.5
Oct 18,2082.0
Sep 18,2177.5
Aug 18,2183.5
Jul 18,2215.0
Jun 18,2324.0
May 18,2396.0
Apr 18,2418.0
Mar 18,2426.5
Feb 18,2488.0
Jan 18,2486.5
