Characteristic,Value in million U.S. dollars
Texas Longhorns (Big 12),152
Notre Dame Fighting Irish (Independent),127
Tennessee Volunteers (SEC),121
LSU Tigers (SEC),111
Michigan Wolverines (Big Ten),105
Georgia Bulldogs (SEC),102
Ohio State Buckeyes (Big Ten),100
Alabama Crimson Tide (SEC),99
Oklahoma Sooners (Big 12),96
Auburn Tigers (SEC),89
Penn State Nittany Lions (Big Ten),81
Arkansas Razorbacks (SEC),80
Washington Huskies (Pac-12),78
Oregon Ducks (Pac-12),75
Florida Gators (SEC),72
Texas A&M Aggies (SEC),71
Florida State Seminoles,70
South Carolina Gamecoks (SEC),69
Michigan State Spartans (Big Ten),67
USC Trojans (Pac-12),66
