Characteristic,Revenue in billion US dollars
Royal Dutch Shell (Netherlands),352.11
Volkswagen (Germany),282.76
BP (UK),282.62
Glencore (Switzerland),215.11
Daimler AG (Germany),193.35
Total (France),176.25
EXOR Group (Italy),162.75
AXA (France),146.98
Allianz (Germany),130.36
Gazprom (Russia),118.01
BMW Group (Germany),116.64
Lukoil (Russia),114.62
Generali Group (Italy),105.92
Crédit Agricole (France),104.97
HSBC (UK),98.67
Siemens (Germany),97.94
Nestle (Switzerland),92.11
Prudential (UK),93.76
Legal & General (UK),90.62
Deutsche Telekom (German),90.14
