Characteristic,Crude birth rate
2020,12.0
2015,12.5
2010,13.8
2005,14.0
2000,14.3
1995,15.5
1990,15.7
1985,15.3
1980,14.8
1975,15.6
1970,17.6
1965,21.0
1960,23.8
1955,24.1
1950,24.76
1945,21.36
1940,19.02
1935,19.16
1930,22.48
1925,26.3
1920,27.92
1915,29.72
1910,30.33
1905,31.53
1900,33.05
1895,34.92
1890,36.8
1885,38.67
1880,40.25
1875,41.38
1870,42.5
1865,43.63
1860,45.05
1855,46.93
1850,48.8
1845,50.68
1840,52.14
1835,52.99
1830,53.84
1825,54.69
1820,47.72
1815,46.5
1810,47.2
1805,47.91
1800,48.33
