Characteristic,Annual turnover in million euros
Germany,560228.6
United Kingdom,463557.5
France,469185.7
Italy,322707.5
Spain,227640.7
Poland,119376.8
Netherlands,115832.9
Switzerland,90443.0
Belgium,91536.9
Sweden,78046.2
Austria,66477.8
Norway,52866.8
Portugal,49062.8
Denmark,44550.5
Romania,44911.9
Greece,40674.1
Czechia,41546.4
Finland,38154.7
Ireland,40621.5
Hungary,31311.9
Slovakia,20090.5
Bulgaria,15307.6
Croatia,13476.9
Slovenia,13512.2
Luxembourg,8320.7
Lithuania,10665.6
Latvia,7376.1
Estonia,6727.9
Bosnia and Herzegovina *,6411.2
Cyprus,5701.6
North Macedonia,3320.5
Iceland *,2899.9
Malta,2566.1
