Characteristic,Expenditure in million GBP
2020 Q4,28955
2020 Q3,28945
2020 Q2,29637
2020 Q1,28824
2019 Q4,27112
2019 Q3,26903
2019 Q2,26720
2019 Q1,26554
2018 Q4,26560
2018 Q3,26296
2018 Q2,26111
2018 Q1,25960
2017 Q4,25733
2017 Q3,25344
2017 Q2,25148
2017 Q1,24784
2016 Q4,24586
2016 Q3,24440
2016 Q2,24048
2016 Q1,23647
2015 Q4,23215
2015 Q3,22847
2015 Q2,22705
2015 Q1,22578
2014 Q4,23122
2014 Q3,23448
2014 Q2,23365
2014 Q1,23394
2013 Q4,23363
2013 Q3,23113
2013 Q2,22815
2013 Q1,22789
2012 Q4,22838
2012 Q3,22178
2012 Q2,22009
2012 Q1,22190
