"Date, Location",Damage in million U.S. dollars
"January 17, 1994, Los Angeles",30000
"October 18, 1989, San Francisco",5600
"February 28, 2001, Seattle",2000
"March 28, 1964, Prince William Sound",1020
"August 24, 2014, San Francisco, California",700
"February 9, 1971, Los Angeles",535
"April 18, 1906, San Francisco",524
"October 1, 1987, Los Angeles",213
"December 22, 2003, San Robbles (California)",200
"October 15, 2006, Hawai Island",150
"June 28, 1992, Landers California",100
"April 22, 1992, South California",100
