Characteristic,GDP in million chained 2012 Canadian dollars
Real estate and rental and leasing,4008.2
Public administration,3421.3
Health care and social assistance,2981.6
Manufacturing,2925.2
Retail trade,1998.8
Construction,1942.2
Educational services,1893.8
Finance and insurance,1660.1
Transportation and warehousing,1582.3
Utilities,1340.5
"Administrative and support, waste management and remediation services",1132.5
"Agriculture, forestry, fishing and hunting",1052.2
"Professional, scientific and technical services",1029.7
Wholesale trade,1025.9
Information and cultural industries,874.1
Accommodation and food services,681.6
Other services (except public administration),577.9
"Mining, quarrying, and oil and gas extraction",315.7
"Arts, entertainment and recreation",158.9
Management of companies and enterprises,89.9
