Characteristic,Turnover in million DKK
Takeda Pharma A/S,84741
Weibel Scientific A/S,52245
E-boks A/S,50652
Novo Nordisk A/S,48553
Lego A/S,10752
Kirkbi Invest A/S,9805
Lego System A/S,8426
Dako Denmark A/S,7093
Ørsted Wind Power A/S,6252
Siemens Gamesa Renewable Energy A/S,5562
A.P Møller og Hustru Chastine Mc-Kinney Møllers Fond Til Almene Formaal,5375
Pandora A/S,3829
VKR Holding A/S,3769
Stark Danmark A/S,3647
"Lundbeck A/S, H",3481
LEGO Fonden,2944
Genmab A/S,2859
Chr. Augustinus Fabrikker Aktieselskab,2699
Augustinus Fonden,2698
Grundfos Holding A/S,2350
