Characteristic,Share of responding businesses
Attracting customers,79%
Increasing revenue,59%
Maintaining profitability,51%
Uncertainty over economic conditions,27%
Developing new products/innovation,19%
"Other government regulations (e.g., compliance, technical regulation, patents, reporting)",16%
Tax laws and rules,16%
Retaining/recruiting skilled employees,15%
Securing financing for expansion,15%
Finding/working with suppliers,13%
Securing financing for business as usual,13%
Selling to foreign markets **,8%
Other,6%
