Characteristic,Number of hotel rooms
Italy,1092758
Germany,993298
Spain,933500
Turkey*,693162
France,654478
Greece*,420991
Austria,290878
Poland,176925
Portugal,157325
Czech Republic,141110
Switzerland*,140884
Netherlands,138546
Sweden,129033
Bulgaria,127052
Romania,117125
Norway*,89381
Croatia,82038
Hungary,75013
Belgium,61023
Finland,60444
Denmark,51633
Slovakia,44352
Cyprus,43792
Serbia*,27318
Malta,20133
Lithuania,18140
Estonia,17017
Iceland,15855
Latvia,13389
North Macedonia,10737
Luxembourg,7492
Liechtenstein,782
