Characteristic,Wealth in billion yuan
Ma Yun & family (Alibaba),27.5
Ma Huateng (Tencent),26.0
Xu Jiayin (Evergrande),21.0
He Xiangjian & He Jianfeng (Midea),18.0
Yang Huiyan & family (Country Garden),17.5
Sun Piaoyang & family (Hengrui Medicine),17.5
Huang Zheng (Pinduoduo Online Shopping),13.5
Ding Lei (NetEase),12.5
Yan Hao & family (China Pacific Construction),12.0
Wang Jianlin & family (Wanda),12.0
Zhang Yong & Shu Ping (HaiDiLao),12.0
Wang Wei (Shunfeng Express),11.0
Zhang Zhidong (Tencent),10.5
Chen Jianhua & family (Hengli),10.5
Qin Yinglin & Qian Ying (Pig farming),10.0
Zhang Jindong (Suning),10.0
Yao Zhenhua (Baoneng),10.0
Li Shufu & family (Geely),10.0
Wang Wenyin (Amer),10.0
Xu Rongmao & family (Shimao),9.5
Zhang Yiming (ByteDance),9.5
Lin Li (Liye),9.5
