Characteristic,Profit in million U.S. dollars
Q1 '17,99.0
Q4 '16,162.0
Q3 '16,163.0
Q2 '16,-440.0
Q1 '16,-98.29
Q4 '15,-4435.0
Q3 '15,76.26
Q2 '15,-21.55
Q1 '15,21.2
Q4 '14,166.0
Q3 '14*,6774.1
Q2 '14,269.71
Q1 '14,311.58
Q4 '13,348.19
Q3 '13,296.66
Q2 '13,331.15
Q1 '13,390.29
Q4 '12,272.27
Q3 '12*,3160.24
Q2 '12,226.63
Q1 '12,286.34
Q4 '11,295.57
Q3 '11,293.29
Q2 '11,236.97
Q1 '11,222.99
Q4 '10,312.02
Q3 '10,396.13
Q2 '10,213.32
Q1 '10,310.19
Q4 '09,152.95
Q3 '09,186.09
Q2 '09,141.39
Q1 '09,117.56
Q4 '08,-303.43
Q3 '08,54.35
Q2 '08,131.22
Q1 '08,536.84
Q4 '07,205.72
Q3 '07,151.29
Q2 '07,160.57
Q1 '07,142.42
Q4 '06,268.67
Q3 '06,158.53
Q2 '06,164.33
Q1 '06,159.86
Q4 '05,683.21
Q3 '05,253.77
Q2 '05,754.69
Q1 '05,204.56
