Characteristic,Number of murder victims
Unknown,5744
Other arguments,3410
Other-not specified (non-felony),1714
Other-not specified (felony),656
Narcotic drug laws,591
Robbery,509
Juvenile gang killings,292
Gangland killings,274
Suspected felony type,141
Argument over money or property,128
Domestic violence,88
Burglary,84
Arson,73
Brawl due to influence of alcohol,46
Motor vehicle theft,38
Larceny-theft,29
Brawl due to influence of narcotics,29
Institutional killings,29
Child killed by babysitter,20
Prostitution and commercialized vice,12
Other sex offenses,9
Rape,8
Gambling,3
