Characteristic,Inflation rate compared to previous year
2026*,3.05%
2025*,3.05%
2024*,3.03%
2023*,3.26%
2022*,3.51%
2021*,3.63%
2020,3.32%
2019,3.37%
2018,2.85%
2017,2.41%
2016,0.42%
2015,-0.07%
2014,-0.22%
2013,1.72%
2012,5.67%
2011,3.92%
2010,4.87%
2009,4.2%
2008,6.05%
2007,7.97%
2006,3.92%
2005,3.56%
2004,6.75%
2003,4.66%
2002,5.27%
2001,9.16%
2000,9.78%
1999,10.02%
1998,14.17%
1997,18.29%
1996,23.46%
1995,28.3%
1994,18.87%
1993,22.45%
1992,22.95%
1991,34.23%
1990,28.97%
1989,16.95%
1988,15.79%
1987,8.68%
1986,5.29%
