Characteristic,GDP in billion U.S. dollars
2026*,1229.13
2025*,1189.54
2024*,1150.97
2023*,1113.02
2022*,1073.23
2021*,1012.6
2020*,909.5
2019,907.15
2018,914.46
2017,833.58
2016,783.84
2015,765.65
2014,892.4
2013,877.19
2012,839.46
2011,905.11
2010,848.07
2009,870.57
2008,951.77
2007,848.66
2006,733.99
2005,685.73
2004,658.08
2003,579.93
2002,473.53
2001,431.59
2000,417.66
1999,447.49
1998,438.61
1997,417.33
1996,450.63
1995,452.71
1994,382.55
1993,355.93
1992,366.0
1991,331.1
1990,321.41
1989,260.53
1988,264.22
1987,246.93
1986,201.6
