Characteristic,Share of population
Italy,22.8%
Greece,22%
Portugal,21.8%
Finland,21.8%
Germany,21.5%
Bulgaria,21.3%
Croatia,20.6%
Serbia,20.4%
Latvia,20.3%
France,20.1%
Sweden,19.9%
Lithuania,19.8%
Slovenia,19.8%
Estonia,19.8%
Czechia,19.6%
Denmark,19.6%
Spain,19.4%
Hungary,19.3%
Netherlands,19.2%
Belgium,18.9%
Austria,18.8%
Malta,18.7%
Romania,18.5%
Switzerland,18.5%
United Kingdom,18.4%
Poland,17.7%
Norway,17.2%
Cyprus,16.1%
Slovakia,16%
Montenegro,15.2%
Luxembourg,14.4%
Iceland,14.2%
Ireland,14.1%
North Macedonia,14.1%
Turkey,8.8%
