Brand/segment,Percent share in segment market sales
Olay Regenerist/ facial anti-aging,8.9%
Olay Regenerist Micro-Sculpting/ facial anti-aging,7.3%
Neutrogena Oil-Free Acne Wash/ acne treatment,11.9%
Olay Total Effects 7-in-1/ facial anti-aging,6.4%
L'Oréal Revitalift/ facial anti-aging,5.7%
Olay/ facial cleanser,6.3%
Neutrogena Rapid Wrinkle Repair/ facial anti-aging,4.5%
Cetaphil/ facial cleansers,5.3%
Olay Complete/ facial moisturizers,11.9%
Olay Age-Defying/ facial anti-aging,4.3%
Simple/ facial cleansers,5%
Nair/ depilatories,27.1%
Johnson's Clean & Clear Morning Burst/ facial cleansers,4.5%
Neutrogena Deep Clean/ facial cleansers,4.3%
Clearasil Ultra Rapid Action/ acne treatments,6.4%
Neutrogena Moisture/ facial moisturiyer,8.9%
Bioré/ facial cleansers,3.7%
Garnier SkinRenew/ facial anti-aging,3%
RoC Retinol Correxion Deep Wrinkle/ facial anti-aging,2.9%
Pond's/ facial cleanser,3.5%
