Characteristic,Mortgage interest rate
Q4 2020,1.25%
Q3 2020,1.27%
Q2 2020,1.27%
Q1 2020,1.38%
Q4 2019,1.44%
Q3 2019,1.44%
Q2 2019,1.77%
Q1 2019,1.85%
Q4 2018,1.89%
Q3 2018,1.8%
Q2 2018,1.8%
Q1 2018,1.88%
Q4 2017,1.9%
Q3 2017,2.02%
Q2 2017,2.1%
Q1 2017,2.11%
Q4 2016,2.02%
Q3 2016,2.02%
Q2 2016,2.2%
Q1 2016,2.33%
Q4 2015,2.5%
Q3 2015,2.67%
Q2 2015,2.77%
Q1 2015,2.68%
Q4 2014,2.84%
Q3 2014,2.99%
Q2 2014,3.26%
Q1 2014,3.44%
Q4 2013,3.5%
Q3 2013,3.68%
Q2 2013,3.64%
Q1 2013,3.68%
