Fiscal quarters,Sales in million units
Q4 '14,2.64
Q3 '14,2.93
Q2 '14,2.76
Q1 '14,6.05
Q4 '13,3.5
Q3 '13,4.57
Q2 '13,5.63
Q1 '13,12.68
Q4 '12,5.34
Q3 '12,6.75
Q2 '12,7.67
Q1 '12,15.4
Q4 '11,6.62
Q3 '11,7.54
Q2 '11,9.02
Q1 '11,19.45
Q4 '10,9.05
Q3 '10,9.41
Q2 '10,10.89
Q1 '10,20.97
Q4 '09,10.18
Q3 '09,10.22
Q2 '09,11.01
Q1 '09,22.73
Q4 '08,11.05
Q3 '08,11.01
Q2 '08,10.64
Q1 '08,22.12
Q4 '07,10.2
Q3 '07,9.82
Q2 '07,10.55
Q1 '07,21.07
Q4 '06,8.73
Q3 '06,8.11
Q2 '06,8.53
Q1 '06,14.04
