Characteristic,Number of ski areas
Germany,498
Russia,354
Italy,349
France,317
Austria,253
Sweden,228
Norway,213
Czech Republic,191
Switzerland,186
Poland,182
Slovakia,107
Finland,76
Turkey,60
Ukraine,54
Romania,47
Slovenia,44
Bulgaria,32
Spain,32
Serbia,31
Latvia,26
Greece,22
Kazakhstan,19
Kyrgyzstan,19
Bosnia and Herzegovina,18
Hungary,15
Iceland,13
Croatia,13
Lithuania,11
United Kingdom,10
Albania,10
Estonia,9
Georgia,8
Macedonia,8
Belgium,7
Belarus,6
Denmark,5
Montenegro,4
Uzbekistan,3
Kosovo,3
Armenia,3
Andorra,3
Azerbaijan,2
Liechtenstein,1
Portugal,1
