College or university,Average score (25th percentile)
Caltech,2160
Harvard,2120
Princeton,2120
Yale,2110
Columbia,2100
MIT,2090
Stanford,2080
Vanderbilt,2070
Northwestern,2060
Dartmouth,2030
Tufts,2030
UPenn,2030
Duke,2020
Rice,2020
Brown,1990
Carnegie Mellon,1970
Johns Hopkins,1950
Emory,1920
USC,1910
Boston College,1900
NYU,1890
Tulane,1890
University of Virginia,1890
Michigan,1880
Berkeley,1870
William and Mary,1870
Georgia Tech,1860
Brandeis,1850
GWU,1830
University of Miami,1820
UNC,1790
Boston University,1780
UCLA,1760
Ohio State,1700
Pepperdine,1680
UCSD,1660
UC Santa Barbara,1640
Penn State,1630
Rutgers,1620
UC Davis,1620
U Washington,1600
Syracuse,1570
UC Irvine,1530
Washington U,1420
University of Chicago,1400
Notre Dame,1340
Cornell,1310
Georgetown,1290
Lehigh,1200
