Characteristic,Price in thousand Mexican pesos
Mexico City,3038.39
Querétaro,1820.49
Morelos,1769.59
Jalisco,1480.05
Baja California Sur,1420.19
State of Mexico,1414.78
Nayarit,1397.14
San Luis Potosí,1329.19
National average,1310.75
Guerrero,1293.33
Quintana Roo,1278.2
Yucatán,1267.38
Nuevo León,1266.58
Baja California,1236.73
Sinaloa,1227.96
Michoacán,1227.23
Puebla,1182.46
Tabasco,1132.86
Oaxaca,1099.58
Sonora,1080.66
Guanajuato,1058.39
Veracruz,1040.53
Chihuahua,1017.96
Campeche,1009.95
Chiapas,969.24
Hidalgo,964.75
Coahuila,923.79
Colima,919.88
Aguascalientes,917.19
Tlaxcala,804.63
Zacatecas,754.84
Durango,739.88
Tamaulipas,731.93
