Characteristic,Share of individuals
Norway,88%
Denmark,88%
Luxembourg,87%
Sweden **,86%
Finland,86%
Netherlands,83%
United Kingdom,77%
Estonia,74%
Malta,70%
Germany,70%
European Union (15 countries),68%
Spain,68%
Austria,67%
Euro area*,65%
Cyprus,65%
Hungary,64%
France,64%
European Union (28 countries),64%
European Union (27 countries),64%
Belgium,63%
Latvia *,62%
Croatia,62%
Ireland,61%
Portugal,59%
Czech Republic,59%
Slovenia,59%
Macedonia,58%
Lithuania,58%
Slovakia,56%
Italy,55%
Greece,53%
Turkey,50%
Poland,50%
Romania,40%
Bulgaria,38%
