Characteristic,Complete University Guide score
University of Cambridge,100%
University of Oxford,99%
University of St Andrews,96%
London School of Economics,94%
Imperial College London,91%
Loughborough University,90%
Durham University,90%
Lancaster University,89%
University of Bath,87%
University College London,86%
University of Warwick,85%
University of Exeter,83%
University of Birmingham,81%
University of Bristol,81%
University of Edinburgh,81%
University of Leeds,80%
University of Manchester,80%
University of Southampton,80%
University of Glasgow,79%
King's College London,77%
