Characteristic,Number of Tumblr posts in billions
Apr '19,171.5
Jan '19,168.4
Oct '18,165.5
Jul '18,162.7
Apr '18,160.0
Jan '18,157.2
Oct '17,154.1
Jul '17,151.2
Apr '17,148.1
Jan '17,144.7
Oct '16,141.2
Jul '16,137.0
Apr '16,133.0
Jan '16,128.2
Oct '15,122.7
Jul '15,116.2
Apr '15,106.1
Jan '15,102.2
Oct '14,93.7
Jul '14,83.1
Apr '14,82.9
Jan '14,73.4
Oct '13,64.0
Jul '13,55.1
Apr '13,44.6
Jan '13,40.0
Oct '12,33.1
Jul '12,26.5
Mar '12,20.0
Sep '11,10.0
May '11,5.0
