Characteristic,Value in billion U.S. dollars
Aug 20,169.8
Jul 20,117.8
Jun 20,84.1
May 20,24.2
Apr 20,19.3
Mar 20,59.3
Feb 20,120.9
Jan 20,77.8
Dec 19,137.2
Nov 19,125.7
Oct 19,122.3
Sep 19,71.8
Aug 19,184.9
Jul 19,153.3
Jun 19,323.9
May 19,158.4
Apr 19,144.6
Mar 19,135.8
Feb 19,140.4
Jan 19,203.9
Dec 18,99.7
Nov 18,126.6
Oct 18,167.7
Sep 18,155.3
Aug 18,167.8
Jul 18,142.3
Jun 18,163.7
May 18,187.0
Apr 18,260.8
Mar 18,195.8
Feb 18,144.5
Jan 18,196.1
Dec 17,276.4
Nov 17,117.5
Oct 17,120.4
Sep 17,115.9
Aug 17,156.6
